Publication Type,Authors,Article Title,Source Title,Publication Year,DOI
J,"Chai, SL; Sun, RX; Zhang, K; Ding, YT; Wei, W",Is Emissions Trading Scheme (ETS) an Effective Market-Incentivized Environmental Regulation Policy? Evidence from China's Eight ETS Pilots,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,2022,10.3390/ijerph19063177
J,"Chen, JD; Huang, SS; Shen, ZY; Song, ML; Zhu, ZH",Impact of sulfur dioxide emissions trading pilot scheme on pollution emissions intensity: A study based on the synthetic control method,ENERGY POLICY,2022,10.1016/j.enpol.2021.112730
J,"Li, ZG; Wang, J",Spatial emission reduction effects of China's carbon emissions trading: quasi-natural experiments and policy spillovers,CHINESE JOURNAL OF POPULATION RESOURCES AND ENVIRONMENT,2021,10.1016/j.cjpre.2021.12.027
J,"Zhang, HR; Liu, Y",Can the pilot emission trading system coordinate the relationship between emission reduction and economic development goals in China?,JOURNAL OF CLEANER PRODUCTION,2022,10.1016/j.jclepro.2022.132629
J,"Zhang, Y; Huang, YL",Killing Two Birds with One Stone or Missing One of Them? The Synergistic Governance Effect of China's Carbon Emissions Trading Scheme on Pollution Control and Carbon Emission Reduction,SUSTAINABILITY,2023,10.3390/su151310147
J,"Zhao, X; Shang, YP; Ma, XW; Xia, PF; Shahzad, U",Does Carbon Trading Lead to Green Technology Innovation: Recent Evidence From Chinese Companies in Resource-Based Industries,IEEE TRANSACTIONS ON ENGINEERING MANAGEMENT,2024,10.1109/TEM.2022.3186905
J,"Zhou, D; Liang, XY; Zhou, Y; Tang, K",Does Emission Trading Boost Carbon Productivity? Evidence from China's Pilot Emission Trading Scheme,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,2020,10.3390/ijerph17155522
J,"Lei, YT; Zhang, X; Peng, WX",Can China's Policy of Carbon Emissions Trading Optimize Manufacturing Structure? Evidence from Guangdong Based on a Synthetic Control Approach,SUSTAINABILITY,2022,10.3390/su14063302
J,"Fu, Y; Zheng, ZY",Volatility modeling and the asymmetric effect for China's carbon trading pilot market,PHYSICA A-STATISTICAL MECHANICS AND ITS APPLICATIONS,2020,10.1016/j.physa.2019.123401
J,"Zhang, YJ; Cheng, HS",The impact mechanism of the ETS on CO2 emissions from the service sector: Evidence from Beijing and Shanghai,TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE,2021,10.1016/j.techfore.2021.121114
J,"Goncalves, J; Costa, ML",The political influence of ecological economics in the European Union applied to the cap-and-trade policy1,ECOLOGICAL ECONOMICS,2022,10.1016/j.ecolecon.2022.107352
J,"Böhringer, C; Hoffmann, T; Manrique-de-Lara-Peñate, C",The efficiency costs of separating carbon markets under the EU emissions trading scheme:: A quantitative assessment for Germany,ENERGY ECONOMICS,2006,10.1016/j.eneco.2005.09.001
J,"Tang, K; Zhou, Y; Liang, XY; Zhou, D",The effectiveness and heterogeneity of carbon emissions trading scheme in China,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,2021,10.1007/s11356-020-12182-0
J,"Hongyan, D; Quayson, M; Yingyue, Z; Wei, C",Does emission trading system lead to reverse investment leakage: Evidence from Chinese listed firms,SUSTAINABLE PRODUCTION AND CONSUMPTION,2023,10.1016/j.spc.2023.02.006
J,"Zhao, ZQ; Li, YY; Su, XH",Mountains block and seas move: The impact of geographical environment on the China's Carbon Emissions Trading Scheme in reducing urban PM2.5 concentrations,SUSTAINABLE CITIES AND SOCIETY,2024,10.1016/j.scs.2024.105630
J,"Löfgren, Å; Wråke, M; Hagberg, T; Roth, S",Why the EU ETS needs reforming: an empirical analysis of the impact on company investments,CLIMATE POLICY,2014,10.1080/14693062.2014.864800
J,"Chen, X; Lin, BQ",Towards carbon neutrality by implementing carbon emissions trading scheme: Policy evaluation in China,ENERGY POLICY,2021,10.1016/j.enpol.2021.112510
J,"Wang, WJ; Xie, PC; Wang, WX; Zhao, DQ",Overview and evaluation of the mitigation efficiency for China's seven pilot ETS,ENERGY SOURCES PART A-RECOVERY UTILIZATION AND ENVIRONMENTAL EFFECTS,2022,10.1080/15567036.2019.1646352
J,"Niizawa, H; Hayashi, D; Liu, XB",Features and prospect of China's national GHG emissions trading scheme,CARBON MANAGEMENT,2020,10.1080/17583004.2020.1721975
J,"Cheng, X; Yu, ZY; Gao, JY; Liu, YT; Jiang, SW",Governance effects of pollution reduction and carbon mitigation of carbon emission trading policy in China,ENVIRONMENTAL RESEARCH,2024,10.1016/j.envres.2024.119074
J,"Wen, X; Meng, FE",The impact of carbon emission trading policy on regional total factor productivity,FRONTIERS IN ENVIRONMENTAL SCIENCE,2024,10.3389/fenvs.2024.1411608
J,"Boutabba, MA; Lardic, S","EU Emissions Trading Scheme, competitiveness and carbon leakage: new evidence from cement and steel industries",ANNALS OF OPERATIONS RESEARCH,2017,10.1007/s10479-016-2246-9
J,"Wen, Y; Hu, PQ; Li, JF; Liu, QF; Shi, L; Ewing, J; Ma, Z",Does China's carbon emissions trading scheme really work? A case study of the hubei pilot,JOURNAL OF CLEANER PRODUCTION,2020,10.1016/j.jclepro.2020.124151
J,"Purcel, AA",Environmental protection expenditures and EU ETS: Evidence from Romania,FINANCE RESEARCH LETTERS,2023,10.1016/j.frl.2023.104418
J,"Ju, XY; Wan, J; Zhang, ZW; Ma, CA; Zhang, LW; Zhao, XD",Impact of Chinese Carbon Emissions Trading Policy on Chongqing's Carbon Emissions and Economic Development,SUSTAINABILITY,2023,10.3390/su15054253
J,"Zhang, H; Wu, JY",The Energy Saving and Emission Reduction Effect of Carbon Trading Pilot Policy in China: Evidence from a Quasi-Natural Experiment,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,2022,10.3390/ijerph19159272
J,"Gerlagh, R; Heijmans, RJRK; Rosendahl, KE",An endogenous emissions cap produces a green paradox,ECONOMIC POLICY,2021,10.1093/epolic/eiab011
J,"Bolat, CK; Soytas, U; Akinoglu, B; Nazlioglu, S",Is there a macroeconomic carbon rebound effect in EU ETS?,ENERGY ECONOMICS,2023,10.1016/j.eneco.2023.106879
J,"Wang, X; Liu, C; Wen, ZY; Long, RY; He, LY",Identifying and analyzing the regional heterogeneity in green innovation effect from China?s pilot carbon emissions trading scheme through a quasi-natural experiment,COMPUTERS & INDUSTRIAL ENGINEERING,2022,10.1016/j.cie.2022.108757
J,"Xiao, J; Li, GH; Zhu, B; Xie, L; Hu, Y; Huang, J",Evaluating the impact of carbon emissions trading scheme on Chinese firms' total factor productivity,JOURNAL OF CLEANER PRODUCTION,2021,10.1016/j.jclepro.2021.127104
J,"Wen, HX; Chen, ZR; Nie, PY",Environmental and economic performance of China's ETS pilots: New evidence from an expanded synthetic control method,ENERGY REPORTS,2021,10.1016/j.egyr.2021.05.024
J,"Moreno, B; da Silva, PP",How do Spanish polluting sectors' stock market returns react to European Union allowances prices? A panel data approach,ENERGY,2016,10.1016/j.energy.2016.02.094
J,"Zhang, HJ; Duan, MS; Deng, Z",Have China's pilot emissions trading schemes promoted carbon emission reductions?- the evidence from industrial sub-sectors at the provincial level,JOURNAL OF CLEANER PRODUCTION,2019,10.1016/j.jclepro.2019.06.247
J,"Forbes, KF; Zampelli, EM","Wind energy, the price of carbon allowances, and CO2 emissions: Evidence from Ireland",ENERGY POLICY,2019,10.1016/j.enpol.2019.07.007
J,"Trotignon, R",Combining cap-and-trade with offsets: lessons from the EU-ETS,CLIMATE POLICY,2012,10.1080/14693062.2011.637820
J,"De Cara, S; Jayet, PA","Marginal abatement costs of greenhouse gas emissions from European agriculture, cost effectiveness, and the EU non-ETS burden sharing agreement",ECOLOGICAL ECONOMICS,2011,10.1016/j.ecolecon.2011.05.007
J,"Lessmann, C; Kramer, N",The effect of cap-and-trade on sectoral emissions: Evidence from California,ENERGY POLICY,2024,10.1016/j.enpol.2024.114066
J,"Fang, K; Mao, MY; Tian, CH; Chen, J; Wang, WJ; Tan, R",Exploring the impact of emissions trading schemes on income inequality between urban and rural areas,JOURNAL OF ENVIRONMENTAL MANAGEMENT,2023,10.1016/j.jenvman.2022.117067
J,"Batten, JA; Maddox, GE; Young, MR","Does weather, or energy prices, affect carbon prices?",ENERGY ECONOMICS,2021,10.1016/j.eneco.2020.105016
J,"Zhang, WJ; Zhang, N; Yu, YN",Carbon mitigation effects and potential cost savings from carbon emissions trading in China's regional industry,TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE,2019,10.1016/j.techfore.2018.12.014
J,"Zhai, XQ; An, YF; Shi, XP; Cui, HQ",Emissions trading scheme and green development in China: Impact of city heterogeneity,SUSTAINABLE DEVELOPMENT,2023,10.1002/sd.2533
J,"Yan, YX; Zhang, XL; Zhang, JH; Li, K",Emissions trading system (ETS) implementation and its collaborative governance effects on air pollution: The China story,ENERGY POLICY,2020,10.1016/j.enpol.2020.111282
J,"Xu, J; Tan, XJ; He, G; Liu, Y",Disentangling the drivers of carbon prices in China's ETS pilots - An EEMD approach,TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE,2019,10.1016/j.techfore.2018.11.009
J,"Tian, Y; Akimov, A; Roca, E; Wong, V",Does the carbon market help or hurt the stock price of electricity companies? Further evidence from the European context,JOURNAL OF CLEANER PRODUCTION,2016,10.1016/j.jclepro.2015.07.028
J,"Li, BY; Du, YQ; Chen, GJ",The effects of carbon trading on resident income: a theoretical and empirical study on the pilot carbon market in China,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,2023,10.1007/s11356-023-30903-z
J,"García, A; García-Alvarez, MT; Moreno, B",The Impact of EU Allowance Prices on the Stock Market Indices of the European Power Industries: Evidence From the Ongoing EU ETS Phase III,ORGANIZATION & ENVIRONMENT,2021,10.1177/1086026620924820
J,"Feng, R; Lin, PA; Hou, CX; Jia, SS",Study of the Effect of China's Emissions Trading Scheme on Promoting Regional Industrial Carbon Emission Reduction,FRONTIERS IN ENVIRONMENTAL SCIENCE,2022,10.3389/fenvs.2022.947925
J,"Anderson, B; Di Maria, C",Abatement and Allocation in the Pilot Phase of the EU ETS,ENVIRONMENTAL & RESOURCE ECONOMICS,2011,10.1007/s10640-010-9399-9
J,"Tan-Soo, JS; Li, LL; Qin, P; Zhang, XB",Do CO2 emissions trading schemes deliver co-benefits? evidence from shanghai,CLIMATE POLICY,2022,10.1080/14693062.2021.2009432
J,"Kristic, IR; Simurina, J",The Effectiveness of the Market-Based Environmental Policy Mix in the European Union,PANOECONOMICUS,2021,10.2298/PAN180111009R
J,"Zeng, YY",Indirect double regulation and the carbon ETSs linking: The case of coal-fired generation in the EU and China,ENERGY POLICY,2017,10.1016/j.enpol.2017.09.038
J,"Jaraite, J; Di Maria, C","Efficiency, productivity and environmental policy: A case study of power generation in the EU",ENERGY ECONOMICS,2012,10.1016/j.eneco.2011.11.017
J,"Miard, K",Lobbying During the Revision of the EU Emissions Trading System: Does EU Membership Influence Company Lobbying Strategies?,JOURNAL OF EUROPEAN INTEGRATION,2014,10.1080/07036337.2013.809343
J,"Schäfer, S",Decoupling the EU ETS from subsidized renewables and other demand side effects: lessons from the impact of the EU ETS on CO2 emissions in the German electricity sector,ENERGY POLICY,2019,10.1016/j.enpol.2019.06.066
J,"Liu, YQ; Liu, S; Shao, XY; He, YQ",Policy spillover effect and action mechanism for environmental rights trading on green innovation: Evidence from China's carbon emissions trading policy,RENEWABLE & SUSTAINABLE ENERGY REVIEWS,2022,10.1016/j.rser.2021.111779
J,"Fu, LN; Yi, Y; Wu, T; Cheng, RW; Zhang, ZM",Do carbon emission trading scheme policies induce green technology innovation? New evidence from provincial green patents in China,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,2023,10.1007/s11356-022-22877-1
J,"Qu, SJ; Ma, HR",The impact of carbon policy on carbon emissions in various industrial sectors based on a hybrid approach,ENVIRONMENT DEVELOPMENT AND SUSTAINABILITY,2023,10.1007/s10668-022-02673-0
J,"Anderson, HM; Gao, JT; Turnip, G; Vahid, F; Wei, W",Estimating the effect of an EU-ETS type scheme in Australia using a synthetic treatment approach,ENERGY ECONOMICS,2023,10.1016/j.eneco.2023.106798
J,"Chen, RS; Howley, P; Kesidou, E",The impact of ETS on productivity in developing economies: A micro-econometric evaluation with Chinese firm-level data,ENERGY ECONOMICS,2024,10.1016/j.eneco.2024.107376
J,"Borghesi, S; Franco, C; Marin, G",Outward Foreign Direct Investment Patterns of Italian Firms in the European Union's Emission Trading Scheme*,SCANDINAVIAN JOURNAL OF ECONOMICS,2020,10.1111/sjoe.12323
J,"Ma, Q; Yan, G; Ren, XH; Ren, XS",Can China's carbon emissions trading scheme achieve a double dividend?,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,2022,10.1007/s11356-022-19453-y
J,"Dewaelheyns, N; Schoubben, F; Struyfs, K; Van Hulle, C",The influence of carbon risk on firm value: Evidence from the European Union Emission Trading Scheme,JOURNAL OF ENVIRONMENTAL MANAGEMENT,2023,10.1016/j.jenvman.2023.118293
J,"Zhang, YJ; Shi, W",Has China's carbon emissions trading (CET) policy improved green investment in carbon-intensive enterprises?,COMPUTERS & INDUSTRIAL ENGINEERING,2023,10.1016/j.cie.2023.109240
J,"Gao, YN; Li, M; Xue, JJ; Liu, Y",Evaluation of effectiveness of China's carbon emissions trading scheme in carbon mitigation,ENERGY ECONOMICS,2020,10.1016/j.eneco.2020.104872
J,"Galán-Valdivieso, F; Villar-Rubio, E; Huete-Morales, MD",The erratic behaviour of the EU ETS on the path towards consolidation and price stability,INTERNATIONAL ENVIRONMENTAL AGREEMENTS-POLITICS LAW AND ECONOMICS,2018,10.1007/s10784-018-9411-3
J,"Branger, F; Lecuyer, O; Quirion, P",The European Union Emissions Trading Scheme: should we throw the flagship out with the bathwater?,WILEY INTERDISCIPLINARY REVIEWS-CLIMATE CHANGE,2015,10.1002/wcc.326
J,"Zhu, JM; Ge, ZM; Wang, JL; Li, X; Wang, C","Evaluating regional carbon emissions trading in China: effects, pathways, co-benefits, spillovers, and prospects",CLIMATE POLICY,2022,10.1080/14693062.2022.2054765
J,"Mandaroux, R; Schindelhauer, K; Mama, HB",How to reinforce the effectiveness of the EU emissions trading system in stimulating low-carbon technological change? Taking stock and future directions,ENERGY POLICY,2023,10.1016/j.enpol.2023.113697
J,"Anger, N; Oberndorfer, U",Firm performance and employment in the EU emissions trading scheme: An empirical assessment for Germany,ENERGY POLICY,2008,10.1016/j.enpol.2007.09.007
J,"Yang, Y; Yu, F; Chen, LP; Sheng, XR; Yuan, XL; Wang, QS; Ma, Q; Zuo, J",Evaluation of the carbon reduction effect of China's low-carbon pilot policy based on synthetic control method,ENERGY ECOLOGY AND ENVIRONMENT,2024,10.1007/s40974-024-00340-w
J,"Chan, HS; Li, SJ; Zhang, F",Firm competitiveness and the European Union emissions trading scheme,ENERGY POLICY,2013,10.1016/j.enpol.2013.09.032
J,"Zhang, YJ; Wang, W",How does China's carbon emissions trading (CET) policy affect the investment of CET-covered enterprises?,ENERGY ECONOMICS,2021,10.1016/j.eneco.2021.105224
J,"Flori, A",Energy commodities spillover analysis for assessing the functioning of the European Union Emissions Trading System trade network of carbon allowances,SCIENTIFIC REPORTS,2024,10.1038/s41598-024-72518-5
J,"Alexeeva, V; Anger, N",The globalization of the carbon market: Welfare and competitiveness effects of linking emissions trading schemes,MITIGATION AND ADAPTATION STRATEGIES FOR GLOBAL CHANGE,2016,10.1007/s11027-014-9631-y
J,"Wang, LH; Yin, KD; Cao, Y; Li, XM",A New Grey Relational Analysis Model Based on the Characteristic of Inscribed Core (IC-GRA) and Its Application on Seven-Pilot Carbon Trading Markets of China,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,2019,10.3390/ijerph16010099
J,"Feng, C; Shi, BB; Kang, R",Does Environmental Policy Reduce Enterprise Innovation?-Evidence from China,SUSTAINABILITY,2017,10.3390/su9060872
J,"Fang, GC; Tian, LX; Liu, MH; Fu, M; Sun, M",How to optimize the development of carbon trading in China-Enlightenment from evolution rules of the EU carbon price,APPLIED ENERGY,2018,10.1016/j.apenergy.2017.12.001
J,"Xu, WZ",The Impact and Influencing Path of the Pilot Carbon Emission Trading market--Evidence From China,FRONTIERS IN ENVIRONMENTAL SCIENCE,2021,10.3389/fenvs.2021.787655
J,"Fernández, YF; López, MAF; Hernández, DG; Blanco, BO",Institutional Change and Environment: Lessons from the European Emission Trading System,ENERGIES,2018,10.3390/en11040706
J,"Wan, L; Wang, SY; Zang, JN; Zheng, QQ; Fang, WP",Does the EU emissions trading system help reduce PM2.5 damage? A research based on PSM-DID method,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,2022,10.1007/s11356-021-17640-x
J,"Moreno, B; García-Alvarez, MT; Fonseca, AR",Fuel prices impacts on stock market of metallurgical industry under the EU emissions trading system,ENERGY,2017,10.1016/j.energy.2017.02.067
J,"Bayer, P; Aklin, M",The European Union Emissions Trading System reduced CO2 emissions despite low prices,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,2020,10.1073/pnas.1918128117
J,"Song, ML; Zheng, HY; Shen, ZY",Whether the carbon emissions trading system improves energy efficiency-Empirical testing based on China?s provincial panel data,ENERGY,2023,10.1016/j.energy.2023.127465
J,"Anger, N; Brouns, B; Onigkeit, J",Linking the EU emissions trading scheme: economic implications of allowance allocation and global carbon constraints,MITIGATION AND ADAPTATION STRATEGIES FOR GLOBAL CHANGE,2009,10.1007/s11027-009-9180-y
J,"Wu, LP; Zhu, QY",Whether China's carbon emission trading scheme has triggered technical change in emission reduction? An integrated approach,ENVIRONMENT DEVELOPMENT AND SUSTAINABILITY,2024,10.1007/s10668-023-03025-2
J,"Wolff, G; Feuerriegel, S",Emissions Trading System of the European Union: Emission Allowances and EPEX Electricity Prices in Phase III,ENERGIES,2019,10.3390/en12152894
J,"Scotti, F; Flori, A; Crescenzi, R; Pammolli, F",Demand-pull and technology-push environmental innovation: a policy mix analysis on EU ETS and EU Cohesion Policy,CLIMATE POLICY,2025,10.1080/14693062.2024.2366894
J,"Ma, T; Du, YM; Xu, T; Pang, J",How the thermal power sector affects carbon trading: an empirical study on China's carbon markets,APPLIED ECONOMICS,2023,10.1080/00036846.2023.2165619
J,"Yang, HC; Gan, T; Liang, W; Liao, XC",Can policies aimed at reducing carbon dioxide emissions help mitigate haze pollution? An empirical analysis of the emissions trading system,ENVIRONMENT DEVELOPMENT AND SUSTAINABILITY,2022,10.1007/s10668-021-01515-9
J,"Zhong, JX; Zhang, JJ; Fu, MC","Does the Carbon Emissions Trading Pilot Policy Have a Demonstrated Impact on Advancing Low-Carbon Technology? Evidence from a Case Study in Beijing, China",LAND,2024,10.3390/land13081276
J,"Ma, GC; Qin, JH; Zhang, YM",Does the carbon emissions trading system reduce carbon emissions by promoting two-way FDI in developing countries? Evidence from Chinese listed companies and cities,ENERGY ECONOMICS,2023,10.1016/j.eneco.2023.106581
J,"Fais, B; Blesl, M; Fahl, U; Voss, A",Analysing the interaction between emission trading and renewable electricity support in TIMES,CLIMATE POLICY,2015,10.1080/14693062.2014.927749
J,"Zhang, YF; Li, S; Zhang, F",Does an Emissions Trading Policy Improve Environmental Efficiency? Evidence from China,SUSTAINABILITY,2020,10.3390/su12062165
J,"Stoerk, T; Dudek, DJ; Yang, J","China's national carbon emissions trading scheme: lessons from the pilot emission trading schemes, academic literature, and known policy details",CLIMATE POLICY,2019,10.1080/14693062.2019.1568959
J,"Shen, J; Tang, PC; Zeng, H",Does China's carbon emission trading reduce carbon emissions? Evidence from listed firms,ENERGY FOR SUSTAINABLE DEVELOPMENT,2020,10.1016/j.esd.2020.09.007
J,"Zhang, JK; Zhang, Y",Examining the economic effects of emissions trading scheme in China,JOURNAL OF ENVIRONMENTAL PLANNING AND MANAGEMENT,2021,10.1080/09640568.2020.1835620
J,"Biancalani, F; Gnecco, G; Metulini, R; Riccaboni, M",The impact of the European Union emissions trading system on carbon dioxide emissions: a matrix completion analysis,SCIENTIFIC REPORTS,2024,10.1038/s41598-024-70260-6
J,"Cui, YX; Feng, W; Gu, XS",Research on the spatial spillover effect of carbon trading market development on regional emission reduction,FRONTIERS IN ENVIRONMENTAL SCIENCE,2024,10.3389/fenvs.2024.1356689
J,"Wang, WD; Wang, D; Ni, WL; Zhang, CJ",The impact of carbon emissions trading on the directed technical change in China,JOURNAL OF CLEANER PRODUCTION,2020,10.1016/j.jclepro.2020.122891
J,"Koch, N; Themann, M",Catching up and falling behind: Cross-country evidence on the impact of the EU ETS on firm productivity,RESOURCE AND ENERGY ECONOMICS,2022,10.1016/j.reseneeco.2022.101315
J,"Li, CX; Xu, JJ; Zhang, LXH",Can Emissions Trading System Aid Industrial Structure Upgrading?-A Quasi-Natural Experiment Based on 249 Prefecture-Level Cities in China,SUSTAINABILITY,2022,10.3390/su141710471
J,"Sun, HB; Cao, D",Impact of China's carbon emissions trading scheme on urban air quality: a time-varying DID model,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,2023,10.1007/s11356-023-29465-x
J,"Juergens, I; Barreiro-Hurlé, J; Vasa, A",Identifying carbon leakage sectors in the EU ETS and implications of results,CLIMATE POLICY,2013,10.1080/14693062.2011.649590
J,"Zheng, R; Liang, JJ",DOES CO2 EMISSIONS TRADING DUCE CO2 EMISSION INTENSITY? EVIDENCE FROM A QUASI-NATURAL EXPERIMENT,FRESENIUS ENVIRONMENTAL BULLETIN,2020,
J,"Locatelli, A; Marin, G; Palma, A; Dal Savio, G",THE IMPACT OF EU-ETS ON TRADE: EVIDENCE ON ITALIAN MANUFACTURING FIRMS,POLITICA ECONOMICA,2022,
J,"Wu, QY",Price and scale effects of China's carbon emission trading system pilots on emission reduction,JOURNAL OF ENVIRONMENTAL MANAGEMENT,2022,10.1016/j.jenvman.2022.115054
J,"Yu, WL; Luo, JL",Impact on Carbon Intensity of Carbon Emission Trading-Evidence from a Pilot Program in 281 Cities in China,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,2022,10.3390/ijerph191912483
J,"Teixidó, J; Verde, SF; Nicolli, F",The impact of the EU Emissions Trading System on low-carbon technological change: The empirical evidence,ECOLOGICAL ECONOMICS,2019,10.1016/j.ecolecon.2019.06.002
J,"Wang, X; Wen, ZY; He, LY; Zheng, HY; Yang, TF; Long, RY",The role of imperfect market structure in the employment effect of emissions trading scheme in China: A theoretical extension and empirical investigation,ECONOMIC ANALYSIS AND POLICY,2024,10.1016/j.eap.2024.04.031
J,"Yao, SY; Yu, XY; Yan, S; Wen, SY",Heterogeneous emission trading schemes and green innovation,ENERGY POLICY,2021,10.1016/j.enpol.2021.112367
