Authors,PY,Title,Journal,DOI,Jurisdiction,Page,Findings or Recommendations?,Category,Specification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"He, Yizhang; Song, Wei",2022,Analysis of the Impact of Carbon Trading Policies on Carbon Emission and Carbon Emission Efficiency,SUSTAINABILITY,10.3390/su141610216,China,17,Recommendations,"Monitoring, reporting, and verification",Unified analytical evaulation framework should be in place,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"He, Yizhang; Song, Wei",2022,Analysis of the Impact of Carbon Trading Policies on Carbon Emission and Carbon Emission Efficiency,SUSTAINABILITY,10.3390/su141610216,China,17,Recommendations,Complementary policies,Trading market of ETS and air pollution credits should be developed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chen, Li; Wang, Di; Shi, Ruyi",2022,Can China's Carbon Emissions Trading System Achieve the Synergistic Effect of Carbon Reduction and Pollution Control?,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,10.3390/ijerph19158932,China,18,Recommendations,Complementary policies,Comprehensive environmental policy system should be in place,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chen, Li; Wang, Di; Shi, Ruyi",2022,Can China's Carbon Emissions Trading System Achieve the Synergistic Effect of Carbon Reduction and Pollution Control?,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,10.3390/ijerph19158932,China,18,Recommendations,Institutional governance,Government should invest in R&D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chen, Li; Wang, Di; Shi, Ruyi",2022,Can China's Carbon Emissions Trading System Achieve the Synergistic Effect of Carbon Reduction and Pollution Control?,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,10.3390/ijerph19158932,China,18,Recommendations,Institutional governance,Government should supervise and intervene carbon market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chen, Li; Wang, Di; Shi, Ruyi",2022,Can China's Carbon Emissions Trading System Achieve the Synergistic Effect of Carbon Reduction and Pollution Control?,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,10.3390/ijerph19158932,China,18,Recommendations,"Monitoring, reporting, and verification",Systematic monitoring system should be in place,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chen, Li; Wang, Di; Shi, Ruyi",2022,Can China's Carbon Emissions Trading System Achieve the Synergistic Effect of Carbon Reduction and Pollution Control?,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,10.3390/ijerph19158932,China,18,Recommendations,"Monitoring, reporting, and verification",Information transparency should be guaranteed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wang, Qian; Gao, Cuiyun; Dai, Shuanping",2019,Effect of the Emissions Trading Scheme on CO2 Abatement in China,SUSTAINABILITY,10.3390/su11041055,China,11,Recommendations,Complementary policies,Comprehensive environmental policy system should be in place,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Li, Zhiguo; Wang, Jie",2021,Spatial emission reduction effects of China's carbon emissions trading: quasi-natural experiments and policy spillovers,CHINESE JOURNAL OF POPULATION RESOURCES AND ENVIRONMENT,10.1016/j.cjpre.2021.12.027,China,42,Recommendations,Institutional governance,National ETS should be expanded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Li, Zhiguo; Wang, Jie",2021,Spatial emission reduction effects of China's carbon emissions trading: quasi-natural experiments and policy spillovers,CHINESE JOURNAL OF POPULATION RESOURCES AND ENVIRONMENT,10.1016/j.cjpre.2021.12.027,China,42,Recommendations,Others,Green transition should be promoted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zhang, Huan; Wu, Jingyu",2022,The Energy Saving and Emission Reduction Effect of Carbon Trading Pilot Policy in China: Evidence from a Quasi-Natural Experiment,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,10.3390/ijerph19159272,China,20,Findings,Institutional governance,Government should optimising industrial structure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zhang, Huan; Wu, Jingyu",2022,The Energy Saving and Emission Reduction Effect of Carbon Trading Pilot Policy in China: Evidence from a Quasi-Natural Experiment,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,10.3390/ijerph19159272,China,21,Recommendations,Institutional governance,Government should invest in R&D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zhang, Huan; Wu, Jingyu",2022,The Energy Saving and Emission Reduction Effect of Carbon Trading Pilot Policy in China: Evidence from a Quasi-Natural Experiment,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,10.3390/ijerph19159272,China,21,Recommendations,Institutional governance,Government should supervise and intervene carbon market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zhang, Huan; Wu, Jingyu",2022,The Energy Saving and Emission Reduction Effect of Carbon Trading Pilot Policy in China: Evidence from a Quasi-Natural Experiment,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,10.3390/ijerph19159272,China,21,Recommendations,Complementary policies,Comprehensive environmental policy system should be in place,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zhang, Huan; Wu, Jingyu",2022,The Energy Saving and Emission Reduction Effect of Carbon Trading Pilot Policy in China: Evidence from a Quasi-Natural Experiment,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,10.3390/ijerph19159272,China,21,Recommendations,Institutional governance,Government should supervise and intervene carbon market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zhang, Weijie; Zhang, Ning; Yu, Yanni",2019,Carbon mitigation effects and potential cost savings from carbon emissions trading in China's regional industry,TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE,10.1016/j.techfore.2018.12.014,China,10,Recommendations,"Monitoring, reporting, and verification",Systematic monitoring system should be in place,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zhang, Weijie; Zhang, Ning; Yu, Yanni",2019,Carbon mitigation effects and potential cost savings from carbon emissions trading in China's regional industry,TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE,10.1016/j.techfore.2018.12.014,China,10,Recommendations,Institutional governance,Government should invest in R&D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Feng, Rui; Lin, Peina; Hou, Chenxue; Jia, Shuaishuai",2022,Study of the Effect of China's Emissions Trading Scheme on Promoting Regional Industrial Carbon Emission Reduction,FRONTIERS IN ENVIRONMENTAL SCIENCE,10.3389/fenvs.2022.947925,China,15,Recommendations,Institutional governance,Government should supervise and intervene carbon market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Feng, Rui; Lin, Peina; Hou, Chenxue; Jia, Shuaishuai",2022,Study of the Effect of China's Emissions Trading Scheme on Promoting Regional Industrial Carbon Emission Reduction,FRONTIERS IN ENVIRONMENTAL SCIENCE,10.3389/fenvs.2022.947925,China,15,Recommendations,Institutional governance,Collaboration with central and regional government should be in place,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Feng, Rui; Lin, Peina; Hou, Chenxue; Jia, Shuaishuai",2022,Study of the Effect of China's Emissions Trading Scheme on Promoting Regional Industrial Carbon Emission Reduction,FRONTIERS IN ENVIRONMENTAL SCIENCE,10.3389/fenvs.2022.947925,China,15,Recommendations,Complementary policies,Trading market of ETS and air pollution credits should be developed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ma, Qian; Yan, Guang; Ren, Xiaohang; Ren, Xiaosong",2022,Can China's carbon emissions trading scheme achieve a double dividend?,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,10.1007/s11356-022-19453-y,China,50253,Recommendations,Complementary policies,Association with green finance should be in place,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ma, Qian; Yan, Guang; Ren, Xiaohang; Ren, Xiaosong",2022,Can China's carbon emissions trading scheme achieve a double dividend?,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,10.1007/s11356-022-19453-y,China,50253,Recommendations,Institutional governance,Government should provide subsidies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ma, Qian; Yan, Guang; Ren, Xiaohang; Ren, Xiaosong",2022,Can China's carbon emissions trading scheme achieve a double dividend?,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,10.1007/s11356-022-19453-y,China,50253,Recommendations,Institutional governance,Market should keep mixed with state-owned and private enterprises,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shen, Jun; Tang, Pengcheng; Zeng, Hao",2020,Does China's carbon emission trading reduce carbon emissions? Evidence from listed firms,ENERGY FOR SUSTAINABLE DEVELOPMENT,10.1016/j.esd.2020.09.007,China,128,Recommendations,Allocation mechanism,The amount of auction allowances should be increased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lin, Boqiang; Huang, Chenchen",2022,Analysis of emission reduction effects of carbon trading: Market mechanism or government intervention?,SUSTAINABLE PRODUCTION AND CONSUMPTION,10.1016/j.spc.2022.06.016,China,36,Findings,Institutional governance,Government should supervise and intervene carbon market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lin, Boqiang; Huang, Chenchen",2022,Analysis of emission reduction effects of carbon trading: Market mechanism or government intervention?,SUSTAINABLE PRODUCTION AND CONSUMPTION,10.1016/j.spc.2022.06.016,China,36,Recommendations,Institutional governance,Government should develop mature market mechanism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lin, Boqiang; Huang, Chenchen",2022,Analysis of emission reduction effects of carbon trading: Market mechanism or government intervention?,SUSTAINABLE PRODUCTION AND CONSUMPTION,10.1016/j.spc.2022.06.016,China,35,Recommendations,Coverage and scope,Carbon-intensive sectors should be included,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Peng, Huarong; Qi, Shaozhou; Cui, Jingbo",2021,The environmental and economic effects of the carbon emissions trading scheme in China: The role of alternative allowance allocation,SUSTAINABLE PRODUCTION AND CONSUMPTION,10.1016/j.spc.2021.03.031,China,115,Recommendations,Institutional governance,Government should develop mature market mechanism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Peng, Huarong; Qi, Shaozhou; Cui, Jingbo",2021,The environmental and economic effects of the carbon emissions trading scheme in China: The role of alternative allowance allocation,SUSTAINABLE PRODUCTION AND CONSUMPTION,10.1016/j.spc.2021.03.031,China,115,Recommendations,Institutional governance,Regulations should be improved and stronger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Peng, Huarong; Qi, Shaozhou; Cui, Jingbo",2021,The environmental and economic effects of the carbon emissions trading scheme in China: The role of alternative allowance allocation,SUSTAINABLE PRODUCTION AND CONSUMPTION,10.1016/j.spc.2021.03.031,China,115,Recommendations,Allocation mechanism,Benchmarking allocation should be in place,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hu, Yucai; Li, Ranran; Du, Lei; Ren, Shenggang; Chevallier, Julien",2022,Could SO2 and CO2 emissions trading schemes achieve co-benefits of emissions reduction?Could SO2 and CO2 emissions trading schemes achieve co-benefits of emissions reduction?Could SO2 and CO2 emissions trading schemes achieve co-benefits of emissions reduction?,ENERGY POLICY,10.1016/j.enpol.2022.113252,China,11,Recommendations,Complementary policies,Trading market of ETS and air pollution credits should be developed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yang, Zhaofu; Yuan, Yongna; Zhang, Qingzhi",2022,"Carbon Emission Trading Scheme, Carbon Emissions Reduction and Spatial Spillover Effects: Quasi-Experimental Evidence From China",FRONTIERS IN ENVIRONMENTAL SCIENCE,10.3389/fenvs.2021.824298,China,8,Recommendations,Coverage and scope,More sectors should be included,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yang, Zhaofu; Yuan, Yongna; Zhang, Qingzhi",2022,"Carbon Emission Trading Scheme, Carbon Emissions Reduction and Spatial Spillover Effects: Quasi-Experimental Evidence From China",FRONTIERS IN ENVIRONMENTAL SCIENCE,10.3389/fenvs.2021.824298,China,8,Recommendations,Institutional governance,National ETS should be expanded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yang, Zhaofu; Yuan, Yongna; Zhang, Qingzhi",2022,"Carbon Emission Trading Scheme, Carbon Emissions Reduction and Spatial Spillover Effects: Quasi-Experimental Evidence From China",FRONTIERS IN ENVIRONMENTAL SCIENCE,10.3389/fenvs.2021.824298,China,8,Recommendations,Institutional governance,Collaboration with central and regional government should be in place,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yang, Zhaofu; Yuan, Yongna; Zhang, Qingzhi",2022,"Carbon Emission Trading Scheme, Carbon Emissions Reduction and Spatial Spillover Effects: Quasi-Experimental Evidence From China",FRONTIERS IN ENVIRONMENTAL SCIENCE,10.3389/fenvs.2021.824298,China,8,Recommendations,Institutional governance,Government should invest in R&D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tian, Guiliang; Yu, Suwan; Wu, Zheng; Xia, Qing",2022,Study on the Emission Reduction Effect and Spatial Difference of Carbon Emission Trading Policy in China,ENERGIES,10.3390/en15051921,China,18,Recommendations,Coverage and scope,Differentiated regional/sector coverage should be in place,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tian, Guiliang; Yu, Suwan; Wu, Zheng; Xia, Qing",2022,Study on the Emission Reduction Effect and Spatial Difference of Carbon Emission Trading Policy in China,ENERGIES,10.3390/en15051921,China,18,Recommendations,Institutional governance,Government should optimising industrial structure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tian, Guiliang; Yu, Suwan; Wu, Zheng; Xia, Qing",2022,Study on the Emission Reduction Effect and Spatial Difference of Carbon Emission Trading Policy in China,ENERGIES,10.3390/en15051921,China,18,Recommendations,Institutional governance,Government should invest in R&D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shi, Beibei; Li, Nan; Gao, Qiang; Li, Guangqin",2022,"Market incentives, carbon quota allocation and carbon emission reduction: Evidence from China's carbon trading pilot policy",JOURNAL OF ENVIRONMENTAL MANAGEMENT,10.1016/j.jenvman.2022.115650,China,11,Findings,Allocation mechanism,Benchmarking allocation should be in place,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shi, Beibei; Li, Nan; Gao, Qiang; Li, Guangqin",2022,"Market incentives, carbon quota allocation and carbon emission reduction: Evidence from China's carbon trading pilot policy",JOURNAL OF ENVIRONMENTAL MANAGEMENT,10.1016/j.jenvman.2022.115650,China,11,Findings,Price formation and market features,Price should be higher than present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shi, Beibei; Li, Nan; Gao, Qiang; Li, Guangqin",2022,"Market incentives, carbon quota allocation and carbon emission reduction: Evidence from China's carbon trading pilot policy",JOURNAL OF ENVIRONMENTAL MANAGEMENT,10.1016/j.jenvman.2022.115650,China,12,Recommendations,Coverage and scope,Carbon-intensive sectors should be included,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shi, Beibei; Li, Nan; Gao, Qiang; Li, Guangqin",2022,"Market incentives, carbon quota allocation and carbon emission reduction: Evidence from China's carbon trading pilot policy",JOURNAL OF ENVIRONMENTAL MANAGEMENT,10.1016/j.jenvman.2022.115650,China,12,Recommendations,Institutional governance,Government should supervise and intervene carbon market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chen, Shuo; Shi, Anna; Wang, Xin",2020,"Carbon emission curbing effects and influencing mechanisms of China's Emission Trading Scheme: The mediating roles of technique effect, composition effect and allocation effect",JOURNAL OF CLEANER PRODUCTION,10.1016/j.jclepro.2020.121700,China,13,Recommendations,Allocation mechanism,The amount of auction allowances should be increased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chen, Shuo; Shi, Anna; Wang, Xin",2020,"Carbon emission curbing effects and influencing mechanisms of China's Emission Trading Scheme: The mediating roles of technique effect, composition effect and allocation effect",JOURNAL OF CLEANER PRODUCTION,10.1016/j.jclepro.2020.121700,China,13,Recommendations,Institutional governance,Collaboration with central and regional government should be in place,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chen, Shuo; Shi, Anna; Wang, Xin",2020,"Carbon emission curbing effects and influencing mechanisms of China's Emission Trading Scheme: The mediating roles of technique effect, composition effect and allocation effect",JOURNAL OF CLEANER PRODUCTION,10.1016/j.jclepro.2020.121700,China,13,Recommendations,Coverage and scope,Differentiated regional/sector coverage should be in place,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lan, Junshi; Li, Wenli; Zhu, Xinwu",2022,The road to green development: How can carbon emission trading pilot policy contribute to carbon peak attainment and neutrality? Evidence from China,FRONTIERS IN PSYCHOLOGY,10.3389/fpsyg.2022.962084,China,11,Recommendations,Institutional governance,Government should invest in R&D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lan, Junshi; Li, Wenli; Zhu, Xinwu",2022,The road to green development: How can carbon emission trading pilot policy contribute to carbon peak attainment and neutrality? Evidence from China,FRONTIERS IN PSYCHOLOGY,10.3389/fpsyg.2022.962084,China,11,Recommendations,Institutional governance,Government should provide subsidies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lan, Junshi; Li, Wenli; Zhu, Xinwu",2022,The road to green development: How can carbon emission trading pilot policy contribute to carbon peak attainment and neutrality? Evidence from China,FRONTIERS IN PSYCHOLOGY,10.3389/fpsyg.2022.962084,China,11,Recommendations,Institutional governance,Government should optimising industrial structure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shi, Xiuyi; Xu, Yingzhi; Sun, Wenyuan",2024,Evaluating China's pilot carbon Emission Trading Scheme: collaborative reduction of carbon and air pollutants,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,10.1007/s11356-022-24685-z,China,16,Recommendations,Coverage and scope,More regions should be included,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shi, Xiuyi; Xu, Yingzhi; Sun, Wenyuan",2024,Evaluating China's pilot carbon Emission Trading Scheme: collaborative reduction of carbon and air pollutants,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,10.1007/s11356-022-24685-z,China,16,Recommendations,Complementary policies,Trading market of ETS and air pollution credits should be developed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shi, Xiuyi; Xu, Yingzhi; Sun, Wenyuan",2024,Evaluating China's pilot carbon Emission Trading Scheme: collaborative reduction of carbon and air pollutants,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,10.1007/s11356-022-24685-z,China,16,Recommendations,Institutional governance,Collaboration with central and regional government should be in place,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cheng, Xin; Yu, Ziyi; Gao, Jingyue; Liu, Yanting; Jiang, Shiwei",2024,Governance effects of pollution reduction and carbon mitigation of carbon emission trading policy in China,ENVIRONMENTAL RESEARCH,10.1016/j.envres.2024.119074,China,11,Recommendations,Institutional governance,National ETS should be expanded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cheng, Xin; Yu, Ziyi; Gao, Jingyue; Liu, Yanting; Jiang, Shiwei",2024,Governance effects of pollution reduction and carbon mitigation of carbon emission trading policy in China,ENVIRONMENTAL RESEARCH,10.1016/j.envres.2024.119074,China,11,Recommendations,Institutional governance,Government should develop mature market mechanism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cheng, Xin; Yu, Ziyi; Gao, Jingyue; Liu, Yanting; Jiang, Shiwei",2024,Governance effects of pollution reduction and carbon mitigation of carbon emission trading policy in China,ENVIRONMENTAL RESEARCH,10.1016/j.envres.2024.119074,China,11,Recommendations,Coverage and scope,Differentiated regional/sector coverage should be in place,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shi, Wen; Sang, Jing; Zhou, Jincheng; Ding, Xiaowen; Li, Zoe",2023,Can carbon emission trading improve carbon emission performance? Evidence from a quasi-natural experiment in China,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,10.1007/s11356-023-31060-z,China,124038,Recommendations,Institutional governance,Regulations should be improved and stronger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shi, Wen; Sang, Jing; Zhou, Jincheng; Ding, Xiaowen; Li, Zoe",2023,Can carbon emission trading improve carbon emission performance? Evidence from a quasi-natural experiment in China,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,10.1007/s11356-023-31060-z,China,124038,Recommendations,Institutional governance,Government should invest in R&D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Xian, Botong; Wang, Yanan; Xu, Yalin; Wang, Juan; Li, Xiaoyan",2023,Assessment of the co-benefits of China's carbon trading policy on carbon emissions reduction and air pollution control in multiple sectors,ECONOMIC ANALYSIS AND POLICY,10.1016/j.eap.2024.01.011,China,1331,Recommendations,Complementary policies,Trading market of ETS and air pollution credits should be developed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Xian, Botong; Wang, Yanan; Xu, Yalin; Wang, Juan; Li, Xiaoyan",2023,Assessment of the co-benefits of China's carbon trading policy on carbon emissions reduction and air pollution control in multiple sectors,ECONOMIC ANALYSIS AND POLICY,10.1016/j.eap.2024.01.011,China,1333,Recommendations,Coverage and scope,Differentiated regional/sector coverage should be in place,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Xian, Botong; Wang, Yanan; Xu, Yalin; Wang, Juan; Li, Xiaoyan",2023,Assessment of the co-benefits of China's carbon trading policy on carbon emissions reduction and air pollution control in multiple sectors,ECONOMIC ANALYSIS AND POLICY,10.1016/j.eap.2024.01.011,China,1333,Recommendations,"Monitoring, reporting, and verification",Systematic monitoring system should be in place,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Xu, Yingying; Zhao, Shan; Chu, Boxiao; Zhu, Yinglun",2024,Emission Reduction Effects of China's National Carbon Market: Evidence Based on the Power Sector,ENERGIES,10.3390/en17122859,China,13,Recommendations,Coverage and scope,More regions should be included,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Xu, Yingying; Zhao, Shan; Chu, Boxiao; Zhu, Yinglun",2024,Emission Reduction Effects of China's National Carbon Market: Evidence Based on the Power Sector,ENERGIES,10.3390/en17122859,China,13-14,Recommendations,Coverage and scope,Differentiated regional/sector coverage should be in place,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Xu, Yingying; Zhao, Shan; Chu, Boxiao; Zhu, Yinglun",2024,Emission Reduction Effects of China's National Carbon Market: Evidence Based on the Power Sector,ENERGIES,10.3390/en17122859,China,14,Recommendations,Institutional governance,Long-term strategy should be planned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
